,Year,Projected Adjusted Sea Level (in),Projected Global Surface Temperature Anomaly (celsius),Projected Greenland Ice Mass Change (billion metric tons),Projected Global CO2 Emissions (billion metric tons)
69,2092,18.034588662820624,1.7503187999999987,-16281.340000000026,80.1590799999999
70,2093,18.15236037657347,1.7620276999999973,-16456.735000000044,80.74406999999997
71,2094,18.270132090326303,1.7737365999999959,-16632.130000000005,81.32906000000003
72,2095,18.387903804079116,1.785445499999998,-16807.525000000023,81.91404999999986
73,2096,18.50567551783196,1.7971543999999966,-16982.920000000042,82.49903999999992
74,2097,18.62344723158479,1.8088632999999987,-17158.315000000002,83.08402999999998
75,2098,18.741218945337604,1.8205721999999973,-17333.71000000002,83.66901999999982
76,2099,18.85899065909045,1.8322810999999959,-17509.10500000004,84.25400999999988
77,2100,18.976762372843282,1.843989999999998,-17684.5,84.83899999999994
78,2101,19.094534086596127,1.8556988999999966,-17859.89500000002,85.42399
79,2102,19.21230580034894,1.8674077999999987,-18035.290000000037,86.00897999999984
80,2103,19.330077514101774,1.8791166999999973,-18210.684999999998,86.5939699999999
81,2104,19.447849227854615,1.8908255999999959,-18386.080000000016,87.17895999999996
82,2105,19.56562094160746,1.902534499999998,-18561.475000000035,87.76395000000002
83,2106,19.683392655360258,1.9142433999999966,-18736.869999999995,88.34893999999986
84,2107,19.801164369113103,1.9259522999999987,-18912.265000000014,88.93392999999992
85,2108,19.91893608286595,1.9376611999999973,-19087.660000000033,89.51891999999998
86,2109,20.03670779661875,1.9493700999999959,-19263.054999999993,90.10390999999981
87,2110,20.154479510371594,1.961078999999998,-19438.45000000001,90.68889999999988
88,2111,20.27225122412444,1.9727878999999966,-19613.84500000003,91.27388999999994
89,2112,20.390022937877283,1.9844967999999987,-19789.24000000005,91.85888
90,2113,20.507794651630082,1.9962056999999973,-19964.63500000001,92.44386999999983
91,2114,20.625566365382927,2.007914599999996,-20140.030000000028,93.0288599999999
92,2115,20.74333807913577,2.019623499999998,-20315.425000000047,93.61384999999996
93,2116,20.861109792888605,2.0313323999999966,-20490.820000000007,94.19884000000002
94,2117,20.978881506641418,2.0430412999999987,-20666.215000000026,94.78382999999985
95,2118,21.09665322039426,2.0547501999999973,-20841.610000000044,95.36881999999991
96,2119,21.214424934147093,2.066459099999996,-21017.005000000005,95.95380999999998
97,2120,21.332196647899906,2.078167999999998,-21192.400000000023,96.53879999999981
98,2121,21.44996836165275,2.0898768999999966,-21367.795000000042,97.12378999999987
99,2122,21.567740075405585,2.1015857999999987,-21543.190000000002,97.70877999999993
100,2123,21.685511789158426,2.1132946999999973,-21718.58500000002,98.29377
101,2124,21.80328350291124,2.125003599999996,-21893.98000000004,98.87875999999983
102,2125,21.921055216664072,2.136712499999998,-22069.375,99.46374999999989
103,2126,22.038826930416917,2.1484213999999966,-22244.77000000002,100.04873999999995
104,2127,22.15659864416976,2.1601302999999987,-22420.165000000037,100.63373000000001
105,2128,22.27437035792256,2.1718391999999973,-22595.559999999998,101.21871999999985
106,2129,22.39214207167541,2.183548099999996,-22770.955000000016,101.80370999999991
107,2130,22.50991378542825,2.195256999999998,-22946.350000000035,102.38869999999997
108,2131,22.627685499181084,2.2069658999999966,-23121.744999999995,102.97369000000003
109,2132,22.745457212933893,2.2186747999999987,-23297.140000000014,103.55867999999987
110,2133,22.863228926686737,2.2303836999999973,-23472.535000000033,104.14366999999993
111,2134,22.981000640439575,2.242092599999996,-23647.929999999993,104.72865999999999
112,2135,23.098772354192384,2.253801499999998,-23823.32500000001,105.31364999999983
113,2136,23.21654406794523,2.2655103999999966,-23998.72000000003,105.89863999999989
114,2137,23.334315781698074,2.2772192999999987,-24174.11500000005,106.48362999999995
115,2138,23.452087495450904,2.2889281999999973,-24349.51000000001,107.06862000000001
116,2139,23.569859209203717,2.300637099999996,-24524.905000000028,107.65360999999984
117,2140,23.68763092295656,2.312345999999998,-24700.300000000047,108.2385999999999
118,2141,23.805402636709395,2.3240548999999966,-24875.695000000007,108.82358999999997
119,2142,23.92317435046224,2.3357637999999987,-25051.090000000026,109.40858000000003
120,2143,24.04094606421505,2.3474726999999973,-25226.485000000044,109.99356999999986
121,2144,24.158717777967883,2.359181599999996,-25401.880000000005,110.57855999999992
122,2145,24.27648949172073,2.370890499999998,-25577.275000000023,111.16354999999999
123,2146,24.39426120547354,2.3825993999999966,-25752.670000000042,111.74853999999982
124,2147,24.51203291922637,2.3943082999999987,-25928.065000000002,112.33352999999988
125,2148,24.62980463297922,2.4060171999999973,-26103.46000000002,112.91851999999994
126,2149,24.74757634673206,2.417726099999996,-26278.85500000004,113.50351
127,2150,24.865348060484862,2.429434999999998,-26454.25,114.08849999999984
128,2151,24.983119774237707,2.4411438999999966,-26629.64500000002,114.6734899999999
129,2152,25.100891487990552,2.4528527999999987,-26805.040000000037,115.25847999999996
130,2153,25.218663201743382,2.4645616999999973,-26980.434999999998,115.84347000000002
131,2154,25.3364349154962,2.476270599999996,-27155.830000000016,116.42845999999986
132,2155,25.45420662924904,2.487979499999998,-27331.225000000035,117.01344999999992
133,2156,25.571978343001874,2.4996883999999966,-27506.619999999995,117.59843999999998
134,2157,25.689750056754686,2.5113972999999987,-27682.015000000014,118.18342999999982
135,2158,25.80752177050753,2.5231061999999973,-27857.410000000033,118.76841999999988
136,2159,25.925293484260365,2.534815099999996,-28032.804999999993,119.35340999999994
137,2160,26.04306519801321,2.546523999999998,-28208.20000000001,119.9384
138,2161,26.16083691176602,2.5582328999999966,-28383.59500000003,120.52338999999984
139,2162,26.278608625518864,2.5699417999999987,-28558.99000000005,121.1083799999999
140,2163,26.396380339271694,2.5816506999999973,-28734.38500000001,121.69336999999996
141,2164,26.514152053024542,2.593359599999996,-28909.780000000028,122.27836000000002
142,2165,26.63192376677735,2.605068499999998,-29085.175000000047,122.86334999999985
143,2166,26.74969548053019,2.6167773999999966,-29260.570000000007,123.44833999999992
144,2167,26.86746719428303,2.6284862999999987,-29435.965000000026,124.03332999999998
145,2168,26.98523890803584,2.6401951999999973,-29611.360000000044,124.61831999999981
146,2169,27.103010621788677,2.651904099999996,-29786.755000000005,125.20330999999987
147,2170,27.220782335541518,2.663612999999998,-29962.150000000023,125.78829999999994
148,2171,27.338554049294363,2.6753218999999966,-30137.545000000042,126.37329
149,2172,27.456325763047165,2.6870307999999987,-30312.940000000002,126.95827999999983
150,2173,27.57409747680001,2.6987396999999973,-30488.33500000002,127.5432699999999
151,2174,27.69186919055285,2.710448599999996,-30663.73000000004,128.12825999999995
152,2175,27.809640904305688,2.722157499999998,-30839.125,128.71325000000002
153,2176,27.927412618058497,2.7338663999999966,-31014.52000000002,129.29823999999985
154,2177,28.045184331811342,2.7455752999999987,-31189.915000000037,129.8832299999999
155,2178,28.162956045564176,2.7572841999999973,-31365.309999999998,130.46821999999997
156,2179,28.28072775931699,2.768993099999996,-31540.705000000016,131.0532099999998
157,2180,28.39849947306983,2.780701999999998,-31716.100000000035,131.63819999999987
158,2181,28.516271186822664,2.7924108999999966,-31891.494999999995,132.22318999999993
159,2182,28.63404290057551,2.8041197999999987,-32066.890000000014,132.80818
160,2183,28.75181461432832,2.8158286999999973,-32242.285000000033,133.39316999999983
161,2184,28.869586328081162,2.827537599999996,-32417.68000000005,133.9781599999999
162,2185,28.987358041834,2.839246499999998,-32593.07500000001,134.56314999999995
163,2186,29.10512975558684,2.8509553999999966,-32768.47000000003,135.14814
164,2187,29.222901469339654,2.8626642999999987,-32943.86500000005,135.73312999999985
165,2188,29.340673183092488,2.8743731999999973,-33119.26000000001,136.3181199999999
166,2189,29.458444896845332,2.886082099999996,-33294.65500000003,136.90310999999997
167,2190,29.576216610598173,2.897790999999998,-33470.05000000005,137.48810000000003
168,2191,29.693988324350975,2.9094998999999966,-33645.44500000001,138.07308999999987
169,2192,29.81176003810382,2.9212087999999987,-33820.840000000026,138.65807999999993
170,2193,29.929531751856665,2.9329176999999973,-33996.235000000044,139.24307
171,2194,30.047303465609467,2.944626599999996,-34171.630000000005,139.82805999999982
172,2195,30.165075179362308,2.956335499999998,-34347.02500000002,140.41304999999988
173,2196,30.282846893115153,2.9680443999999966,-34522.42000000004,140.99803999999995
174,2197,30.400618606867987,2.9797532999999987,-34697.815,141.58303
175,2198,30.5183903206208,2.9914621999999973,-34873.21000000002,142.16801999999984
176,2199,30.63616203437364,3.003171099999996,-35048.60500000004,142.7530099999999
